Step,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11100,11200,11300,11400,11500,11600,11700,11800,11900,12000,12100,12200,12300,12400,12500,12600,12700,12800,12900,13000,13100,13200,13300,13400,13500,13600,13700,13800,13900,14000,14100,14200,14300,14400,14500,14600,14700,14800,14900,15000,15100,15200,15300,15400,15500,15600,15700,15800,15900,16000,16100,16200,16300,16400,16500,16600,16700,16800,16900,17000,17100,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400
Fold-0,0.74202,0.78705,0.80769,0.803,0.803,0.79362,0.77861,0.79737,0.76735,0.76266,0.77767,0.76172,0.77016,0.76829,0.7795,0.76266,0.7645,0.77485,0.77298,0.76829,0.75797,0.76547,0.75609,0.77204,0.75891,0.74671,0.74953,0.75609,0.76266,0.75422,0.74765,0.74577,0.76172,0.75891,0.74484,0.74671,0.7514,0.7439,0.76547,0.76266,0.74953,0.74671,0.75046,0.74859,0.73827,0.73452,0.75234,0.75328,0.75328,0.76266,0.75797,0.75703,0.75234,0.75046,0.74765,0.75703,0.75609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-1,0.79549,0.80112,0.79362,0.80675,0.78142,0.78705,0.77767,0.77485,0.76923,0.76172,0.77298,0.77298,0.76641,0.75797,0.77016,0.76547,0.75422,0.7598,0.75234,0.75328,0.75891,0.75046,0.75046,0.75328,0.73639,0.74671,0.75046,0.76266,0.73358,0.75046,0.72983,0.74296,0.74296,0.75422,0.73921,0.74577,0.74296,0.74108,0.7354,0.7354,0.7242,0.7242,0.73827,0.73921,0.71951,0.73827,0.7354,0.7354,0.74577,0.73639,0.73076,0.74202,0.73076,0.73921,0.72889,0.72514,0.73358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-2,0.7711,0.803,0.79549,0.77861,0.78517,0.78236,0.79268,0.79455,0.7908,0.78986,0.77204,0.78142,0.77298,0.76172,0.76547,0.7636,0.77673,0.77204,0.76172,0.77298,0.76829,0.7711,0.7598,0.7636,0.76735,0.7636,0.76078,0.75609,0.75422,0.75609,0.76735,0.75797,0.75891,0.76829,0.75422,0.75609,0.77298,0.7645,0.75234,0.75234,0.76172,0.7514,0.75328,0.74577,0.75328,0.74484,0.74296,0.74577,0.74953,0.7439,0.74296,0.74108,0.75046,0.7514,0.74953,0.75422,0.7354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-3,0.75422,0.77016,0.77861,0.79174,0.7711,0.77485,0.76923,0.7711,0.78048,0.77016,0.77392,0.76641,0.76829,0.75891,0.78048,0.77392,0.75797,0.76078,0.76078,0.75891,0.75891,0.75328,0.74202,0.74108,0.75234,0.7636,0.75234,0.7514,0.74108,0.76078,0.74765,0.75328,0.74484,0.7598,0.75328,0.74671,0.74296,0.74484,0.74296,0.74108,0.74108,0.75234,0.7401,0.72795,0.74296,0.74671,0.74484,0.75046,0.7354,0.72795,0.73264,0.74765,0.72983,0.73639,0.71013,0.712,0.73264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-4,0.72514,0.77392,0.7842,0.7795,0.78799,0.79268,0.78517,0.7795,0.77673,0.77861,0.78611,0.7795,0.75515,0.7514,0.76829,0.77016,0.76923,0.75797,0.77204,0.76735,0.7598,0.76641,0.74671,0.76829,0.76172,0.75422,0.75797,0.74859,0.75609,0.7439,0.75234,0.75703,0.75797,0.75046,0.7514,0.75046,0.75046,0.74577,0.75046,0.75797,0.74577,0.75515,0.75609,0.74671,0.76266,0.75328,0.76266,0.74765,0.74953,0.7514,0.7514,0.75046,0.75046,0.74202,0.75234,0.7598,0.74765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-5,0.78893,0.78799,0.79268,0.7908,0.77861,0.77298,0.7795,0.75797,0.7645,0.75328,0.76829,0.76172,0.75609,0.74108,0.74484,0.7514,0.76266,0.74859,0.75609,0.75422,0.74296,0.74577,0.76547,0.75797,0.74765,0.7514,0.73264,0.73358,0.74765,0.75515,0.75609,0.7514,0.75797,0.74577,0.75422,0.74108,0.72889,0.75046,0.74577,0.73358,0.74577,0.75046,0.74296,0.73827,0.74671,0.72607,0.73076,0.73639,0.73639,0.74671,0.74765,0.74577,0.72983,0.74859,0.74296,0.74671,0.74296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-6,0.76547,0.78611,0.79268,0.79268,0.78799,0.77767,0.77298,0.78611,0.77579,0.76923,0.77485,0.7711,0.7842,0.78236,0.7711,0.76829,0.75797,0.77673,0.76923,0.77204,0.77204,0.76547,0.76547,0.74765,0.7636,0.74765,0.7598,0.7514,0.76641,0.76172,0.77579,0.76266,0.75515,0.78236,0.7645,0.77204,0.78705,0.77298,0.76641,0.7645,0.76829,0.76641,0.76266,0.76641,0.7636,0.7514,0.7711,0.75891,0.76078,0.77767,0.7645,0.75891,0.75609,0.75891,0.76829,0.75515,0.7514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-7,0.76266,0.78048,0.77298,0.79831,0.79643,0.77767,0.79362,0.79831,0.77579,0.7711,0.77485,0.78611,0.77392,0.77579,0.76641,0.77767,0.77392,0.77204,0.76172,0.7636,0.75797,0.74765,0.74859,0.76829,0.76735,0.76078,0.77392,0.76641,0.7636,0.75797,0.74953,0.76172,0.75234,0.76547,0.7795,0.75703,0.76641,0.75515,0.75891,0.75328,0.76266,0.75422,0.7636,0.76078,0.75891,0.76735,0.74484,0.7439,0.76078,0.75609,0.73076,0.74765,0.74859,0.75046,0.72701,0.75328,0.74671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-8,0.7711,0.7908,0.79549,0.78986,0.78611,0.7645,0.75422,0.74953,0.75797,0.75422,0.75703,0.7401,0.7317,0.75703,0.74859,0.74765,0.75234,0.74484,0.73827,0.73452,0.72889,0.73921,0.72983,0.71951,0.72514,0.7439,0.71951,0.73264,0.7242,0.72701,0.7242,0.73358,0.74859,0.71388,0.73827,0.7317,0.73358,0.73639,0.73264,0.71857,0.7317,0.71388,0.72983,0.72701,0.73358,0.73264,0.74202,0.72232,0.72607,0.73733,0.7317,0.72326,0.72795,0.72607,0.73827,0.7354,0.73639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fold-9,0.70544,0.77485,0.78799,0.79455,0.7833,0.79455,0.76735,0.7833,0.77861,0.7598,0.7711,0.77298,0.74202,0.75515,0.75797,0.75328,0.76172,0.75891,0.76735,0.75328,0.76172,0.76078,0.7598,0.74108,0.74859,0.74484,0.74296,0.74202,0.73921,0.73921,0.74202,0.7354,0.7354,0.72889,0.73639,0.73076,0.73733,0.74484,0.73639,0.7439,0.75422,0.73827,0.73264,0.73733,0.7439,0.73358,0.74953,0.73921,0.73827,0.7354,0.73827,0.7439,0.75046,0.73733,0.7354,0.73452,0.75046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,0.758157,0.785548,0.790143,0.79258,0.786112,0.781793,0.777103,0.779259,0.773725,0.767064,0.772884,0.769404,0.762092,0.76097,0.765281,0.76341,0.763126,0.762655,0.761252,0.759847,0.756746,0.75656,0.752424,0.753279,0.752904,0.752341,0.749991,0.750088,0.74887,0.750651,0.749245,0.750177,0.751585,0.752805,0.751583,0.747835,0.751402,0.749991,0.748675,0.746328,0.748494,0.745304,0.746989,0.743803,0.746338,0.742866,0.747645,0.743329,0.74558,0.74755,0.742861,0.745773,0.742677,0.744084,0.740047,0.743325,0.743328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No CV,0.7630000114,0.7889999747,0.7950000167,0.8000000119,0.7889999747,0.7870000005,0.7919999957,0.7839999795,0.7710000277,0.7689999938,0.7710000277,0.7459999919,0.7659999728,0.7570000291,0.7720000148,0.753000021,0.7590000033,0.7559999824,0.7559999824,0.7379999757,0.7580000162,0.75,0.7609999776,0.7409999967,0.7419999838,0.7379999757,0.7429999709,0.7409999967,0.7450000048,0.7599999905,0.7409999967,0.7580000162,0.7419999838,0.7360000014,0.7490000129,0.7329999804,0.7400000095,0.7329999804,0.7319999933,0.7369999886,0.7440000176,0.746999979,0.7419999838,0.7429999709,0.7329999804,0.7369999886,0.746999979,0.7329999804,0.7409999967,0.7369999886,0.7369999886,0.7340000272,0.7350000143,0.746999979,0.7300000191,0.7350000143,0.7279999852,0.7250000238,0.7419999838,0.7360000014,0.7289999723,0.7220000029,0.7239999771,0.726000011,0.7409999967,0.7310000062,0.7409999967,0.7409999967,0.7170000076,0.7319999933,0.7369999886,0.7210000157,0.7200000286,0.7319999933,0.7329999804,0.726000011,0.7360000014,0.7319999933,0.7319999933,0.7409999967,0.7220000029,0.7239999771,0.7239999771,0.7360000014,0.72299999,0.726000011,0.726000011,0.7279999852,0.726000011,0.726000011,0.7250000238,0.7200000286,0.7350000143,0.7329999804,0.7329999804,0.7300000191,0.7440000176,0.7490000129,0.7379999757,0.7369999886,0.7419999838,0.7409999967,0.7390000224,0.7350000143,0.7440000176,0.7269999981,0.7369999886,0.7409999967,0.7300000191,0.7350000143,0.7200000286,0.726000011,0.7329999804,0.7329999804,0.7310000062,0.7319999933,0.7289999723,0.7239999771,0.7360000014,0.7200000286,0.7279999852,0.7170000076,0.7179999948,0.7319999933,0.726000011,0.7149999738,0.7189999819,0.7030000091,0.7030000091,0.7120000124,0.7139999866,0.7120000124,0.7210000157,0.72299999,0.7250000238,0.7200000286,0.7160000205,0.7080000043,0.6980000138,0.7120000124,0.7039999962,0.7039999962,0.7020000219,0.7149999738,0.7160000205,0.7099999785,0.7070000172,0.7160000205,0.7009999752,0.7170000076,0.7179999948,0.7269999981,0.7129999995,0.7189999819,0.7170000076,0.7049999833,0.726000011,0.7300000191,0.726000011,0.7319999933,0.72299999,0.7030000091,0.726000011,0.72299999,0.7239999771,0.7189999819,0.7289999723,0.7189999819,0.7129999995,0.7059999704,0.7279999852,0.7139999866,0.726000011,0.7200000286,0.7089999914,0.7210000157,0.7170000076,0.7160000205,0.7160000205,0.7110000253,0.7139999866,0.72299999,0.7039999962,0.7070000172,0.7020000219,0.7080000043,0.7110000253,0.7059999704,0.7099999785,0.7310000062,0.7319999933,0.7139999866,0.7080000043,0.7129999995
CNN only,0.6600000262,0.7689999938,0.7860000134,0.7900000215,0.7789999843,0.7940000296,0.7919999957,0.7850000262,0.7950000167,0.7850000262,0.7850000262,0.7900000215,0.7829999924,0.7829999924,0.7850000262,0.7799999714,0.7799999714,0.773999989,0.7689999938,0.7620000243,0.7639999986,0.7620000243,0.7630000114,0.7620000243,0.7659999728,0.7620000243,0.7580000162,0.7590000033,0.7570000291,0.753000021,0.7590000033,0.753000021,0.7540000081,0.746999979,0.746999979,0.746999979,0.7519999743,0.7540000081,0.7549999952,0.7549999952,0.7450000048,0.7480000257,0.7509999871,0.7419999838,0.7459999919,0.7440000176,0.7440000176,0.7490000129,0.7450000048,0.7409999967,0.7440000176,0.7400000095,0.7440000176,0.7419999838,0.7419999838,0.7429999709,0.7400000095,0.7390000224,0.7419999838,0.7369999886,0.7360000014,0.7390000224,0.7360000014,0.7440000176,0.7409999967,0.7379999757,0.7369999886,0.7360000014,0.7360000014,0.7310000062,0.7340000272,0.7369999886,0.7369999886,0.7319999933,0.7340000272,0.7379999757,0.7319999933,0.7390000224,0.7480000257,0.7350000143,0.7429999709,0.7340000272,0.7340000272,0.7289999723,0.7350000143,0.7329999804,0.7310000062,0.7440000176,0.7379999757,0.7419999838,0.7450000048,0.7350000143,0.7379999757,0.7340000272,0.7369999886,0.7350000143,0.7360000014,0.7390000224,0.7289999723,0.7409999967,0.7329999804,0.7329999804,0.6320000291,0.7289999723,0.7319999933,0.7239999771,0.7310000062,0.7279999852,0.726000011,0.7269999981,0.7250000238,0.7289999723,0.72299999,0.7310000062,0.7289999723,0.7289999723,0.7279999852,0.7300000191,0.7279999852,0.7300000191,0.7289999723,0.726000011,0.7279999852,0.7269999981,0.7279999852,0.7340000272,0.7179999948,0.726000011,0.7250000238,0.7210000157,0.7210000157,0.7269999981,0.7239999771,0.7279999852,0.7239999771,0.7250000238,0.7250000238,0.7120000124,0.72299999,0.7289999723,0.7080000043,0.7170000076,0.7189999819,0.7210000157,0.7210000157,0.72299999,0.7139999866,0.7170000076,0.7160000205,0.7179999948,0.7139999866,0.7179999948,0.7170000076,0.7170000076,0.7149999738,0.7200000286,0.7099999785,0.7149999738,0.7250000238,0.7189999819,0.7080000043,0.7200000286,0.7189999819,0.7220000029,0.7110000253,0.7210000157,0.7220000029,0.7220000029,0.7200000286,0.7179999948,0.7160000205,0.7129999995,0.7139999866,0.7110000253,0.7110000253,0.7080000043,0.7089999914,0.7120000124,0.7110000253,0.7139999866,0.7149999738,0.7129999995,0.7179999948,0.7110000253,0.7179999948,0.7080000043,0.7099999785,0.7080000043,0.7099999785,0.7049999833,0.7189999819,0.7139999866,0.7110000253,0.7089999914
